,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,URBANICITY
72,0,20OCT65,34,0,8.0,14194.0,No,87034.0,z_No,z_F,<High School,Clerical,13,Private,2920,4,Sports Car,no,24767,3,Yes,2,7786,10.0,Highly Urban/ Urban
74,0,18FEB64,35,2,12.0,72030.66344778254,Yes,0.0,z_No,z_F,<High School,z_Blue Collar,43,Private,9730,5,z_SUV,no,0,0,No,4,5426,4.0,Highly Urban/ Urban
76,2,10MAY56,43,3,11.0,137103.0,Yes,0.0,z_No,z_F,Masters,Manager,29,Private,19510,1,Sports Car,no,8890,3,No,0,4148,15.0,Highly Urban/ Urban
85,1,07MAR54,45,2,11.0,102393.0,Yes,0.0,z_No,M,Bachelors,Professional,25,Private,1500,1,Minivan,yes,0,0,No,2,2371,11.0,Highly Urban/ Urban
86,0,17SEP37,62,0,15.0,40656.0,No,208242.0,Yes,z_F,z_High School,Clerical,57,Private,9170,4,Sports Car,no,42342,2,Yes,2,4178,7.0,Highly Urban/ Urban
88,1,10FEB62,37,2,12.0,72030.66344778254,No,205211.0,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,5200,1,z_SUV,no,2718,1,No,1,4804,3.0,Highly Urban/ Urban
90,0,13AUG51,48,0,12.0,31773.0,No,165090.0,Yes,M,z_High School,Clerical,14,Commercial,9640,13,Pickup,no,1212,1,No,4,1354,1.0,Highly Urban/ Urban
98,0,09APR46,53,0,6.0,38036.0,No,153381.0,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,13140,1,z_SUV,no,0,0,No,4,2425,1.0,Highly Urban/ Urban
108,0,08AUG65,34,3,0.0,0.0,No,66358.0,Yes,z_F,z_High School,Home Maker,25,Private,11740,9,z_SUV,no,1800,2,No,2,5711,1.0,Highly Urban/ Urban
110,0,13OCT58,41,0,10.0,66265.0,No,159276.0,Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,yes,0,0,No,1,13105,9.0,Highly Urban/ Urban
111,0,30APR53,46,0,7.0,72030.66344778254,No,113151.5,z_No,M,Masters,z_Blue Collar,17,Commercial,23350,13,Panel Truck,yes,4678,3,No,6,4061,17.0,Highly Urban/ Urban
115,0,16FEB66,33,4,0.0,0.0,Yes,0.0,z_No,M,z_High School,Student,14,Commercial,15090,1,Minivan,yes,1631,1,No,2,7838,5.0,Highly Urban/ Urban
116,0,01AUG62,37,0,0.0,6262.51497005988,No,73890.0,Yes,z_F,Bachelors,Student,48,Commercial,12850,7,z_SUV,no,0,0,No,3,3660,6.0,Highly Urban/ Urban
118,0,20NOV51,48,0,11.0,44705.0,No,217885.0,Yes,z_F,Bachelors,Professional,50,Private,12840,1,z_SUV,no,1533,2,No,0,5125,10.0,Highly Urban/ Urban
122,0,06JAN35,64,0,15.0,31738.0,No,197010.0,Yes,M,<High School,z_Blue Collar,23,Commercial,14620,6,z_SUV,no,3994,2,No,0,5085,1.0,Highly Urban/ Urban
126,0,23APR47,52,0,7.0,64014.0,No,244863.0,Yes,M,<High School,z_Blue Collar,33,Commercial,7900,4,Pickup,yes,8882,3,No,1,2143,5.0,Highly Urban/ Urban
128,0,26JUL43,56,2,14.0,192089.0,No,471701.0,Yes,M,PhD,z_Blue Collar,31,Commercial,21100,1,Van,yes,0,0,No,0,6484,7.0,Highly Urban/ Urban
134,0,04MAR73,26,0,8.0,53244.0,No,0.0,z_No,M,Bachelors,Professional,28,Commercial,20920,3,Van,yes,6224,1,No,1,4028,8.0,Highly Urban/ Urban
136,0,22OCT58,41,1,8.0,126468.0,Yes,0.0,z_No,z_F,Masters,Manager,34,Commercial,32690,3,Pickup,no,0,0,No,2,2114,18.0,Highly Urban/ Urban
141,1,25APR61,38,1,12.0,37580.0,No,173495.0,Yes,z_F,<High School,Clerical,36,Private,5260,7,z_SUV,no,867,2,No,0,8671,1.0,Highly Urban/ Urban
142,0,08APR58,41,2,15.0,23344.0,No,147172.0,Yes,M,z_High School,z_Blue Collar,10,Private,7930,1,Pickup,no,0,0,No,1,6287,1.0,Highly Urban/ Urban
146,0,19NOV57,42,0,12.0,110386.0,No,335488.0,Yes,M,Masters,z_Blue Collar,21,Commercial,16640,1,Van,yes,0,0,No,2,3524,14.0,Highly Urban/ Urban
157,1,20JAN56,43,2,11.0,76159.0,Yes,0.0,z_No,z_F,Bachelors,Professional,52,Private,19750,4,z_SUV,no,0,0,Yes,0,1807,7.0,Highly Urban/ Urban
159,0,18JAN57,42,0,0.0,0.0,No,113151.5,z_No,M,<High School,Student,47,Commercial,5700,11,Pickup,yes,0,0,No,5,10594,1.0,Highly Urban/ Urban
166,0,18SEP56,43,2,15.0,49849.0,Yes,0.0,z_No,z_F,Masters,Lawyer,35,Private,13130,1,z_SUV,no,3622,3,No,4,6158,20.0,Highly Urban/ Urban
167,1,28FEB60,39,1,16.0,12054.0,No,0.0,Yes,z_F,<High School,Student,28,Commercial,15760,4,Pickup,no,1738,2,Yes,4,4887,1.0,Highly Urban/ Urban
169,0,13MAR39,60,3,18.0,78936.0,No,235670.0,Yes,z_F,Masters,Lawyer,40,Private,20350,6,z_SUV,no,0,0,No,0,5147,15.0,Highly Urban/ Urban
192,0,12JAN73,26,3,9.0,33283.0,No,104323.0,Yes,M,Bachelors,z_Blue Collar,37,Commercial,7690,10,Pickup,no,0,0,No,2,2214,16.0,Highly Urban/ Urban
195,0,14JAN57,42,0,12.0,136344.0,No,0.0,z_No,z_F,PhD,Doctor,45,Private,13160,1,Sports Car,no,0,0,No,0,6087,17.0,Highly Urban/ Urban
203,0,06JAN60,39,0,12.0,32936.0,No,169721.0,z_No,z_F,z_High School,Clerical,12,Private,1500,6,z_SUV,no,0,0,No,0,3894,7.0,Highly Urban/ Urban
205,1,18JUN54,45,3,0.0,0.0,Yes,0.0,z_No,M,z_High School,Home Maker,36,Private,16510,4,Minivan,no,17445,3,Yes,0,2659,1.0,Highly Urban/ Urban
212,0,20DEC36,63,0,12.0,22181.0,No,185459.0,z_No,z_F,z_High School,Clerical,24,Private,17880,7,Sports Car,no,9873,3,No,5,3705,1.0,Highly Urban/ Urban
213,0,07SEP46,53,0,15.0,84345.0,No,264549.0,Yes,z_F,Bachelors,Manager,36,Private,9930,4,z_SUV,no,0,0,No,3,6693,5.0,Highly Urban/ Urban
220,0,09JUL57,42,0,10.0,43174.0,No,208811.0,z_No,M,<High School,z_Blue Collar,48,Commercial,10020,13,Pickup,yes,0,0,No,0,4380,1.0,Highly Urban/ Urban
221,0,29AUG68,31,2,14.0,30653.0,Yes,0.0,z_No,z_F,z_High School,Clerical,41,Private,12930,13,Sports Car,no,35666,2,Yes,0,1826,7.0,Highly Urban/ Urban
224,3,29MAR63,36,4,0.0,6262.51497005988,No,0.0,Yes,z_F,z_High School,Student,54,Private,1500,4,z_SUV,no,0,0,No,5,6716,10.0,Highly Urban/ Urban
227,1,28NOV53,46,2,17.0,111268.0,No,288071.0,Yes,z_F,Masters,Lawyer,46,Private,24600,1,Van,no,28026,2,Yes,2,4644,10.0,Highly Urban/ Urban
234,0,17OCT63,36,3,11.0,49703.0,Yes,253132.0,z_No,M,Masters,z_Blue Collar,37,Commercial,42550,1,Panel Truck,yes,35879,1,Yes,0,53571,20.0,Highly Urban/ Urban
237,0,28FEB46,53,0,13.0,25289.0,No,108139.0,Yes,z_F,<High School,Home Maker,31,Private,13850,1,z_SUV,no,0,0,No,0,4257,7.0,Highly Urban/ Urban
239,0,22APR68,31,3,14.0,26112.0,No,117229.0,Yes,z_F,<High School,Clerical,58,Private,14030,3,z_SUV,no,0,0,No,0,4277,5.0,z_Highly Rural/ Rural
240,0,23AUG67,32,3,13.0,30955.0,Yes,111256.0,z_No,z_F,z_High School,Clerical,9,Private,7800,4,z_SUV,no,0,0,Yes,0,2832,8.0,Highly Urban/ Urban
241,0,21NOV40,59,0,12.0,131560.0,No,113151.5,z_No,z_F,PhD,Doctor,40,Private,14870,1,z_SUV,no,0,0,No,2,19597,14.0,Highly Urban/ Urban
254,1,17NOV40,59,1,12.0,119382.0,Yes,0.0,z_No,z_F,Masters,Manager,26,Commercial,24130,13,Pickup,no,0,0,No,0,2738,16.0,Highly Urban/ Urban
259,0,22NOV41,58,0,14.0,8212.0,No,0.0,Yes,M,<High School,Student,5,Private,7200,4,Pickup,yes,0,0,No,0,1146,7.0,Highly Urban/ Urban
269,1,01MAR60,39,2,15.0,61370.0,Yes,0.0,z_No,M,Masters,Manager,6,Commercial,21770,6,Van,yes,35577,3,Yes,0,4658,12.0,Highly Urban/ Urban
272,0,20AUG45,54,0,11.0,44782.0,No,148676.0,z_No,z_F,<High School,Clerical,83,Private,30260,3,z_SUV,no,0,0,No,0,5259,9.0,Highly Urban/ Urban
278,2,29JAN54,45,2,12.0,30085.0,No,128194.0,Yes,M,<High School,Clerical,44,Commercial,7200,4,Pickup,no,0,0,Yes,3,3769,8.0,Highly Urban/ Urban
280,1,29DEC54,45,2,15.0,46140.0,No,169084.0,Yes,M,z_High School,z_Blue Collar,29,Commercial,10510,1,Pickup,no,4276,3,No,7,5733,1.0,Highly Urban/ Urban
282,0,21AUG55,44,0,8.0,32317.0,No,0.0,z_No,M,z_High School,Clerical,68,Private,22450,7,Minivan,yes,3738,1,No,8,4363,1.0,Highly Urban/ Urban
288,0,12SEP52,47,0,11.75,21282.0,No,0.0,Yes,M,z_High School,Student,40,Commercial,18150,1,Van,no,6544,1,No,3,5523,7.0,Highly Urban/ Urban
289,0,17OCT35,64,0,13.0,61521.0,No,248878.0,Yes,z_F,Masters,Lawyer,41,Private,7650,1,Sports Car,no,0,0,No,8,7390,9.0,Highly Urban/ Urban
290,0,05APR65,34,1,9.0,105554.0,Yes,229868.0,z_No,M,Masters,Lawyer,75,Private,5300,4,Minivan,no,7504,2,No,2,1165,20.0,Highly Urban/ Urban
292,1,01FEB57,42,1,3.0,69290.0,Yes,0.0,z_No,M,Masters,z_Blue Collar,30,Commercial,23900,4,Panel Truck,yes,1052,2,No,1,2362,11.0,Highly Urban/ Urban
295,0,18FEB86,13,2,3.25,2954.0,Yes,0.0,z_No,z_F,<High School,Clerical,21,Private,3100,9,Sports Car,yes,10099,2,No,4,6142,5.0,Highly Urban/ Urban
302,0,30MAR46,53,0,8.0,61862.0,No,245885.0,Yes,M,PhD,Doctor,33,Private,11270,1,Pickup,yes,0,0,No,0,686,14.0,Highly Urban/ Urban
304,0,17OCT45,54,0,13.0,88668.0,No,316419.0,Yes,z_F,PhD,Lawyer,63,Private,20090,4,Minivan,no,10520,2,No,1,1065,14.0,Highly Urban/ Urban
305,0,03JUN49,50,0,13.0,2657.0,No,109134.0,Yes,z_F,Masters,Home Maker,63,Private,10480,13,Sports Car,no,20452,2,Yes,2,5075,11.0,Highly Urban/ Urban
308,0,02MAY42,57,0,12.0,33667.89347536618,No,0.0,z_No,z_F,z_High School,Clerical,19,Private,11650,4,z_SUV,no,10231,1,No,0,680,1.0,Highly Urban/ Urban
315,1,03MAY57,42,2,12.0,68090.0,Yes,169854.0,z_No,z_F,Bachelors,z_Blue Collar,45,Commercial,11750,1,Minivan,no,9261,1,No,3,2287,12.0,Highly Urban/ Urban
316,0,25MAR54,45,2,4.0,25032.0,Yes,0.0,z_No,z_F,z_High School,Clerical,34,Commercial,6100,1,Pickup,yes,5771,1,No,5,6195,1.0,z_Highly Rural/ Rural
317,0,11APR45,54,0,12.0,52078.0,No,194227.0,Yes,M,Masters,z_Blue Collar,51,Commercial,23250,1,Panel Truck,yes,5039,1,No,4,4862,18.0,Highly Urban/ Urban
322,0,08MAY74,25,1,9.0,51544.0,Yes,113151.5,z_No,z_F,z_High School,z_Blue Collar,44,Commercial,20630,1,z_SUV,no,7767,2,No,8,9776,1.0,Highly Urban/ Urban
323,0,29MAR44,55,0,14.999999999999998,75249.0,No,0.0,z_No,M,Masters,z_Blue Collar,5,Commercial,17020,1,Van,yes,1316,2,No,1,5546,21.0,Highly Urban/ Urban
325,0,11APR70,29,1,8.0,73842.0,Yes,0.0,z_No,z_F,z_High School,z_Blue Collar,25,Commercial,22340,1,Sports Car,no,4769,1,No,4,3418,1.0,Highly Urban/ Urban
326,1,27DEC53,46,2,0.0,0.0,Yes,0.0,z_No,M,<High School,Student,33,Private,6000,1,Pickup,no,41818,1,Yes,3,4423,1.0,Highly Urban/ Urban
334,0,12SEP58,41,1,13.0,109957.0,No,260749.0,Yes,z_F,Masters,Lawyer,50,Private,29470,6,Sports Car,no,0,0,No,1,2328,18.0,Highly Urban/ Urban
339,0,02NOV61,38,0,14.0,10486.0,No,66515.0,Yes,M,<High School,Clerical,33,Private,6350,1,Minivan,no,5702,1,No,4,4700,5.0,Highly Urban/ Urban
341,0,20AUG37,62,0,12.0,33713.0,No,171810.0,Yes,z_F,Bachelors,z_Blue Collar,26,Commercial,23470,4,Sports Car,no,41913,3,Yes,0,6880,15.0,Highly Urban/ Urban
347,0,17SEP63,36,0,13.0,20891.0,No,134406.0,Yes,z_F,z_High School,z_Blue Collar,39,Commercial,5100,1,z_SUV,no,2949,2,No,9,3644,7.0,Highly Urban/ Urban
349,0,15OCT64,35,2,10.0,17493.0,Yes,102902.0,z_No,z_F,<High School,Clerical,52,Private,19340,9,Minivan,no,5658,3,No,7,4758,1.0,Highly Urban/ Urban
351,0,28MAR54,45,3,14.0,94325.0,No,301739.0,Yes,M,Masters,Lawyer,55,Private,6960,1,z_SUV,no,0,0,No,2,4875,14.0,Highly Urban/ Urban
360,0,09JAN35,64,0,9.0,38020.0,No,113151.5,Yes,M,z_High School,z_Blue Collar,11,Commercial,28710,7,Pickup,yes,0,0,No,0,17290,3.0,Highly Urban/ Urban
361,0,27DEC66,33,2,9.0,60050.0,Yes,212562.0,z_No,z_F,z_High School,Clerical,31,Private,11480,1,Minivan,no,17493,4,Yes,2,5395,1.0,Highly Urban/ Urban
362,2,18DEC59,40,2,11.0,88067.3411567477,Yes,0.0,z_No,z_F,Bachelors,Manager,16,Private,22920,1,Sports Car,no,0,0,No,0,5021,10.0,Highly Urban/ Urban
366,0,20FEB67,32,4,15.0,4478.0,Yes,0.0,z_No,z_F,<High School,Student,7,Private,6780,4,z_SUV,no,7181,3,No,5,2891,8.0,Highly Urban/ Urban
370,0,27SEP64,35,0,7.0,62036.0,No,154297.0,Yes,M,z_High School,z_Blue Collar,5,Commercial,16370,4,Van,yes,3913,2,No,7,3149,1.0,Highly Urban/ Urban
371,0,15JUN35,64,0,15.0,40528.0,No,208306.0,Yes,z_F,z_High School,z_Blue Collar,54,Commercial,11950,7,Sports Car,no,5137,1,No,6,3602,6.0,Highly Urban/ Urban
374,1,05SEP60,39,2,13.0,52950.0,No,187514.0,Yes,M,z_High School,Manager,6,Private,10210,1,Pickup,yes,0,0,Yes,0,2516,7.0,Highly Urban/ Urban
375,0,10OCT55,44,1,11.0,75046.0,No,244819.0,Yes,M,z_High School,z_Blue Collar,56,Commercial,9000,4,Pickup,yes,3288,3,No,6,2449,10.0,Highly Urban/ Urban
376,0,07APR59,40,1,12.0,39600.0,Yes,193495.0,z_No,z_F,z_High School,Clerical,37,Private,5460,1,Sports Car,no,4188,2,No,5,3259,1.0,Highly Urban/ Urban
379,0,10SEP61,38,0,10.0,75432.0,No,0.0,z_No,z_F,Bachelors,Manager,51,Private,16260,1,z_SUV,no,8035,3,No,0,21823,13.0,Highly Urban/ Urban
384,0,23NOV55,44,1,0.0,0.0,Yes,86118.0,z_No,z_F,<High School,Home Maker,41,Private,14240,4,z_SUV,no,0,0,No,1,3085,1.0,Highly Urban/ Urban
386,0,15AUG44,55,0,0.0,0.0,No,68500.0,Yes,z_F,Bachelors,Home Maker,11,Private,8560,6,Sports Car,no,3769,2,No,5,3593,14.0,Highly Urban/ Urban
388,0,22JAN45,54,0,12.0,10617.0,No,0.0,Yes,M,z_High School,Student,14,Commercial,7960,10,Pickup,no,1079,2,No,2,458,9.0,Highly Urban/ Urban
390,0,14FEB53,46,0,8.0,140766.0,No,375813.0,z_No,M,Masters,z_Blue Collar,41,Commercial,29220,13,Panel Truck,yes,0,0,No,1,6143,13.0,Highly Urban/ Urban
391,0,28AUG73,26,1,0.0,0.0,No,0.0,Yes,z_F,Bachelors,Student,10,Commercial,4100,1,Sports Car,no,11279,3,No,5,4524,6.0,Highly Urban/ Urban
392,0,22DEC55,44,2,11.0,46224.0,No,173103.0,Yes,M,z_High School,z_Blue Collar,45,Commercial,11510,13,Pickup,yes,0,0,Yes,0,4480,10.0,Highly Urban/ Urban
397,0,13MAR57,42,2,11.0,34210.0,No,186734.0,Yes,M,z_High School,Clerical,34,Private,12880,6,Minivan,yes,1830,1,No,0,5619,1.0,Highly Urban/ Urban
398,0,11JUN53,46,0,11.5,31177.0,No,150102.0,z_No,M,z_High School,Professional,41,Commercial,25420,9,Panel Truck,no,0,0,No,1,1766,1.0,Highly Urban/ Urban
411,0,03APR48,51,0,13.0,65702.0,No,0.0,z_No,z_F,Masters,Lawyer,27,Private,15820,1,z_SUV,no,7181,2,No,3,2262,1.0,Highly Urban/ Urban
413,0,24AUG41,58,0,11.0,51870.0,No,0.0,z_No,M,<High School,z_Blue Collar,36,Commercial,24520,4,Panel Truck,yes,0,0,Yes,5,40152,1.0,Highly Urban/ Urban
415,0,22AUG58,41,0,14.000000000000002,99959.0,No,268154.0,z_No,z_F,Masters,Lawyer,13,Private,18850,6,Minivan,no,0,0,No,1,1237,11.0,Highly Urban/ Urban
416,0,16MAR62,37,0,7.0,61790.0,No,0.0,z_No,M,z_High School,z_Blue Collar,32,Commercial,15150,4,Minivan,no,0,0,No,0,2876,7.0,Highly Urban/ Urban
418,1,20AUG62,37,2,0.0,0.0,Yes,0.0,z_No,z_F,<High School,Student,18,Private,1500,3,z_SUV,no,0,0,No,3,1650,1.0,Highly Urban/ Urban
420,0,12NOV50,49,0,13.0,28592.0,No,183206.0,Yes,M,<High School,Clerical,31,Commercial,9260,1,Pickup,no,39892,3,Yes,6,14834,1.0,Highly Urban/ Urban
421,0,01JAN57,42,2,13.0,64766.0,No,263986.0,Yes,z_F,z_High School,z_Blue Collar,20,Commercial,11840,18,z_SUV,no,44414,1,Yes,1,1796,1.0,Highly Urban/ Urban
424,1,09JUL62,37,2,11.0,62426.0,No,209548.0,Yes,z_F,Bachelors,Manager,20,Private,11440,13,z_SUV,no,981,1,No,0,4057,7.0,Highly Urban/ Urban
425,0,05MAR74,25,1,12.0,40095.0,Yes,0.0,z_No,M,z_High School,Clerical,38,Commercial,22720,3,Panel Truck,yes,1992,2,No,6,5177,9.0,Highly Urban/ Urban
428,1,20JUN59,40,2,7.0,52423.0,No,150723.0,Yes,z_F,z_High School,z_Blue Collar,30,Private,7420,6,Sports Car,no,0,0,No,2,5287,1.0,Highly Urban/ Urban
429,0,14JUN67,32,1,12.0,76985.0,Yes,0.0,z_No,M,Masters,z_Blue Collar,37,Private,19500,7,Van,yes,6762,1,No,4,1444,15.0,Highly Urban/ Urban
434,0,12MAY45,54,0,13.5,62215.0,No,244460.0,Yes,z_F,z_High School,z_Blue Collar,30,Commercial,21840,1,Sports Car,no,6600,2,No,3,3008,5.0,Highly Urban/ Urban
436,0,25JUL50,49,0,7.999999999999999,37356.0,No,133175.0,Yes,M,z_High School,z_Blue Collar,63,Commercial,6400,1,Pickup,yes,7993,1,No,7,3943,6.0,Highly Urban/ Urban
438,0,07SEP57,42,0,13.0,28341.0,No,124838.0,Yes,M,<High School,Clerical,45,Commercial,8530,4,Pickup,yes,3710,3,No,7,2316,1.0,Highly Urban/ Urban
439,0,23JUL62,37,3,17.0,6217.0,No,0.0,Yes,z_F,z_High School,Student,27,Commercial,22260,10,Pickup,no,0,0,Yes,0,5363,4.0,Highly Urban/ Urban
441,0,06APR51,48,0,6.0,52275.0,No,169104.0,Yes,M,Bachelors,Professional,57,Private,14060,1,Minivan,no,3868,1,No,3,5051,6.0,Highly Urban/ Urban
442,0,06FEB78,21,0,5.0,40022.0,No,0.0,z_No,z_F,Bachelors,Manager,67,Private,9360,6,Sports Car,yes,0,0,No,0,6245,1.0,Highly Urban/ Urban
448,0,11JUN59,40,0,5.0,57063.0,No,0.0,z_No,z_F,Masters,Professional,46,Private,16250,10,Sports Car,no,0,0,No,0,2872,19.0,Highly Urban/ Urban
449,0,16AUG41,58,0,14.0,39707.0,No,192089.0,Yes,M,<High School,z_Blue Collar,29,Commercial,16870,1,Van,yes,3546,1,No,6,6101,6.0,Highly Urban/ Urban
461,0,15OCT67,32,0,12.0,52469.0,No,0.0,z_No,M,z_High School,z_Blue Collar,21,Commercial,4700,4,Pickup,no,0,0,Yes,1,1347,9.0,z_Highly Rural/ Rural
463,0,21APR53,46,0,7.0,106409.0,No,0.0,z_No,z_F,Masters,z_Blue Collar,42,Commercial,24410,6,Pickup,no,6948,1,No,0,4579,18.0,Highly Urban/ Urban
465,0,31DEC35,64,2,10.0,52064.0,No,113151.5,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,11770,1,Sports Car,no,834,2,No,8,6228,1.0,Highly Urban/ Urban
468,1,17JUL27,72,2,18.0,27625.0,No,162415.0,Yes,z_F,<High School,Clerical,32,Private,18960,6,Sports Car,no,8571,1,No,8,4997,1.0,Highly Urban/ Urban
474,2,16AUG63,36,3,13.0,28326.0,No,145411.0,Yes,z_F,<High School,Clerical,37,Commercial,26280,7,Pickup,no,39535,3,Yes,2,8662,8.0,Highly Urban/ Urban
486,0,31OCT36,63,0,15.0,26921.0,No,140455.0,Yes,z_F,Bachelors,Manager,19,Private,14360,1,z_SUV,no,30288,1,Yes,2,5952,11.0,Highly Urban/ Urban
487,0,01MAR54,45,3,12.0,13891.0,No,64530.0,Yes,z_F,<High School,Clerical,47,Private,7390,1,z_SUV,no,1546,2,No,4,5252,8.0,Highly Urban/ Urban
488,0,15OCT64,35,0,13.0,64488.0,No,113151.5,Yes,M,z_High School,z_Blue Collar,37,Commercial,21820,1,Van,yes,1144,3,No,5,5440,7.0,Highly Urban/ Urban
493,0,31JAN66,33,2,9.0,31675.0,No,159621.0,Yes,z_F,z_High School,z_Blue Collar,25,Commercial,9130,7,Sports Car,no,32882,1,Yes,6,7719,1.0,Highly Urban/ Urban
495,1,24DEC59,40,2,7.0,66367.0,No,113151.5,Yes,z_F,z_High School,z_Blue Collar,35,Commercial,5560,1,Sports Car,no,2949,2,No,3,8289,1.0,Highly Urban/ Urban
499,0,18DEC42,57,2,17.0,29524.0,No,198107.0,Yes,z_F,<High School,z_Blue Collar,52,Private,14250,14,z_SUV,no,0,0,No,1,2353,7.0,Highly Urban/ Urban
504,0,06MAR58,41,0,6.0,86227.0,No,237057.0,z_No,M,Masters,z_Blue Collar,28,Commercial,19530,9,Van,no,2948,3,No,2,2289,17.0,Highly Urban/ Urban
519,1,24SEP42,57,2,15.0,34116.0,Yes,0.0,z_No,z_F,z_High School,Clerical,25,Private,10610,10,Sports Car,no,34041,3,Yes,1,5457,7.0,Highly Urban/ Urban
521,0,18OCT57,42,0,8.0,94591.0,No,309644.0,z_No,M,<High School,z_Blue Collar,21,Commercial,17470,6,Van,yes,16121,3,Yes,3,3428,8.0,Highly Urban/ Urban
531,0,27JUN66,33,0,11.0,249.0,No,0.0,z_No,z_F,z_High School,Student,30,Private,10590,11,z_SUV,no,0,0,No,1,4898,11.0,Highly Urban/ Urban
